S.No.,Passage,Summary,Question,Language
2.0,ゆたかと伊集院光は同じ荒川区西尾久の生まれで、ゆたかが1学年下である。小・中・高といずれも別の学校であるが、共に師匠の付き人として顔を会わせるようになる。同年代かつ、ゆたかの姉と伊集院は同じ足立新田高校に通っていたことなどから意気投合。1990年に、ニッポン放送の夜ワイド帯番組『三宅裕司のヤングパラダイス』が終了することになり、後番組のパーソナリティ候補の最終選考にゆたか(当時は内海ゆたお)と、オールナイトニッポンを持っていた伊集院が残った。最終的にゆたおが選ばれ『内海ゆたおの夜はドッカーン!』が開始されたが、内海が精神的なプレッシャーのためにやむなく11ヶ月で降板することになり『伊集院光のOh!デカナイト』が開始されることとなった。Oh!デカナイトではゲストとして呼ばれることもあった。\nその後5年たち、Oh!デカナイトが終了して2ヶ月して始まった伊集院光の放課後の王様に、アシスタントとしてゆたおが起用される事になった。さらに後身の伊集院光の怪電波発信基地でも同様にアシスタントを務めた。同郷ということもあり息の合った掛け合いを披露していた。,伊集院光と内海ゆたかは同じ荒川区西尾久の出身で、小学校、中学校、高校は別々の学校に通っていたが、落語家・三遊亭楽太郎の付き人として出会い意気投合した。,伊集院光の出身はどこ,Japanese
3.0,元々は1845年、パリ郊外のイヴリーにジュール・ペリン Jules Perin の手で設立された木工会社であったが、1867年、エコール・ポリテクニーク出身のルイ・フランソワ・ルネ・パナール(Louis François Rene Penhard 1841-1908)が入社。ルネ・パナールは優秀な技術者でペリンの信頼を得、まもなく社名は「ペリン・パナール」になった。,パナールは1845年に木工会社として設立されました。1867年にルネ・パナールが入社し、優秀な技術者としてペリンの信頼を得たことで、社名は「ペリン・パナール」に変更されました。,パナールはいつ設立した？,Japanese
,,,,
1.0,"워싱턴 기념탑(555피트, 약 169.3m)의 높이 이상으로 건축물을 건설하지 못하도록 하여, 뉴욕와 달리 초고층 건물이 드물다. 백악관, 펜타곤, 연방 의사당 등 미국의 주요 정부 기관이 있다. 정식 연방주가 아니므로 상원 의석은 없으나, 표결권이 없는 미국 하원 파견대표 1명 (2019년 현재 민주당의 Eleanor Holmes Norton의원)과 대통령선거인단 3표를 확보하고 있다.","워싱턴 D.C.는 미국의 수도로, 초고층 건물이 드문 도시입니다. 그 이유는 워싱턴 기념탑(555피트, 약 169.3m)의 높이 이상으로 건축물을 건설하지 못하도록 법으로 규제하고 있기 때문입니다.",워싱턴 기념탑은 몇피트인가요?,Korean
2.0,"오대호(五大湖, )는 북아메리카 동북부, 미국과 캐나다의 국경에 있는 다섯 개의 큰 호수를 말한다. 총 표면적이 24만 5,000 평방 킬로미터로 세계에서 가장 규모가 큰 담수계이다. 다섯 호수의 이름은 서쪽에서 동쪽으로 차례대로 다음과 같다.총 유역 면적은 75만 3,919km이며, 남북 길이는 1,110km이고 온타리오 호에서 슈피리어 호에 이르는 동서 길이는 약 1,384km이다. 이 호수들의 물을 모두 합치면 전 세계 담수 공급량의 20%를 차지한다. 슈피리어 호는 5개 호수 중 가장 크다. 슈피리어 호, 휴런 호, 미시간 호는 미칠리매키낵이라는 곳에서 합쳐진다. 휴런 호와 휴런 호의 만인 조지아 만의 물은 세인트클레어 호를 거쳐 이리 호로 빠져나간다. 세인트클레어도 하나의 호수 이지만, 오대호의 하나로 간주될 만큼 크지는 않다. 이리 호로 빠져나간 조지아 만의 물은 나이아가라 폭포를 지나 온타리오 호로 흘러 들어간다.","오대호는 북아메리카 동북부, 미국과 캐나다의 국경에 있는 다섯 개의 큰 호수로, 총 표면적이 24만 5,000 평방 킬로미터로 세계에서 가장 규모가 큰 담수계이다.",오대호의 크기는?,Korean
3.0,"철학적 자연주의의 이론이 처음으로 등장한 것은 이오니아의 소크라테스 이전 철학자들의 글이었다. 특별히 과학의 아버지로 불리는 탈레스가 처음으로 자연현상을 초자연적인 원인을 사용하지 않고 설명했다. 초기 그리스 철학에 대한 조너선 바르네스(Jonathan Barnes)의 소개는 이러한 초기 철학자들을, 자연주의를 미리 예견이라도 한 것처럼 경험적인 원리에 따라 자연을 연구한 사람들로 묘사하고 있다.",철학적 자연주의의 이론이 처음으로 등장한 것은 이오니아의 소크라테스 이전 철학자들의 글이었다.,철학적 자연주의의 이론이 처음으로 등장한 것은 언제인가요?,Korean
,,,,
1.0,"С конца 1980-х годов ядерная программа КНДР стала острой проблемой в международных делах. После того, как США обвинили КНДР в проведении ядерной программы, которое нарушало договор «Agreed Framework» от 1994 года, КНДР, как утверждают, признала существование деятельности по обогащению урана во время приватной встречи с американскими военными представителями. Позже, 10 января 2003 года, КНДР отказалась от договора о нераспространении ядерного оружия. После настойчивых двухсторонних переговоров с США, КНДР согласилась на шестисторонние переговоры с США, Республикой Корея, КНР, Россией и Японией в августе 2003 года. Переговоры продолжались два года, пока не было достигнуто соглашения 19 сентября 2005 года, которое снова оказалось под вопросом из-за проведённых ядерных испытаний в октябре 2006 года. Впоследствии было достигнуто такое же соглашение 13 февраля 2007 года, которое включает нормализацию дипломатических отношения КНДР с США и Японией на условиях, при которых КНДР приостановит работу своего Ядерного научно-исследовательского центра в Йонбёне.""","КНДР отрицает, что обладает ядерным оружием, но в 2006 и 2009 годах страна провела ядерные испытания. В 2003 году КНДР вышла из Договора о нераспространении ядерного оружия. Страна также проводит работы по обогащению урана.",Есть в КНДР ядерное оружие?,Russian
2.0,"Бабушка поэта, Елизавета Алексеевна Арсеньева, страстно любила внука, который в детстве не отличался крепким здоровьем. Энергичная и настойчивая, она прилагала все усилия, чтобы дать ему всё, на что только может претендовать продолжатель рода Лермонтовых. О чувствах и интересах отца она не заботилась.",Елизавета Алексеевна Арсеньева воспитала Михаила Юрьевича Лермонтова.,Кто воспитал Михаи́ла Ю́рьевича Ле́рмонтова?,Russian
3.0,"Далее, в силу ряда случайностей, в тот же день д’Артаньян оскорбляет одного за другим троих опытных мушкетёров\xC2\xA0— друзей Атоса, Портоса и Арамиса\xC2\xA0— и получает от всех троих вызовы на дуэль. Но дуэль, на которую он явился в полдень того же дня, на пустырь за аббатством, была прервана появлением гвардейцев кардинала, которые хотели арестовать четвёрку за нарушение указа о запрете дуэлей. В ответ Д’Артаньян и три его соперника объединились и победили превосходящего противника, став после этого друзьями. Кардинал Ришелье пожаловался на выходки мушкетёров королю Людовику XIII, тот пожурил де Тревиля, но втайне остался горд тем, что у него служат такие люди","Четвёртым мушкетёром в ""Трех мушкетерах"" был д'Артаньян. Он приехал из провинции в Париж, чтобы поступить на службу в королевскую гвардию, но по пути случайно оскорбил троих опытных мушкетёров - Атоса, Портоса и Арамиса. Получив от них вызовы на дуэль, д'Артаньян в итоге подружился с ними и вместе они стали одними из самых известных мушкетёров Франции.","Как звали четвертого мушкетера в ""Трех мушкетерах""?",Russian
,,,,
1.0,"Mchezo wa kwanza wa mfululizo StarCraft ulitolewa kwa Microsoft Windows tarehe 31 Machi 1998. Na zaidi ya nakala milioni 11 kuuzwa duniani kote kufikia Februari 2009, ni moja ya michezo bora kwa kuuza inayotumika kwenye kompyuta binafsi. Nakala inayotumika kwenye Mac OS ilitolewa Machi 1999",Mchezo wa StarCraft ulianzishwa na Blizzard Entertainment mnamo Machi 1998.,"Je,nani mwanzilishi wa mchezo wa StarCraft?",Swahili
2.0,"Tedesco alizaliwa mjini Buenos Aires katika mwaka wa 1944. Alisoma katika Chuo Kikuu cha Buenos Aires,akafuzu na shahada ya digrii ya Falsafa katika mwaka wa 1968. Alifunza kama Profesa wa Elimu ya Historia katika Vyuo vikuu vya La Plata,El Comahue na La Pampa kabla ya kuandika kitabu chake cha kwanza ,\""Education and Society in Argentina, 1800 - 1945\"" katika mwaka wa 1972.","Juan Carlos Tedesco alisomea katika Chuo Kikuu cha Buenos Aires. Alisoma Falsafa na alipohitimu alifundisha Historia ya Elimu katika Vyuo vikuu vya La Plata, El Comahue na La Pampa.","Je,Juan Carlos Tedesco alisomea katika chuo kikuu gani?",Swahili
3.0,Jike la sungura wa Kizungu huwa hawatoi mayai mpaka baada ya kupandwa. Uterasi yao imegawanyika sehemu mbili hivyo kupandana kunaweza kuhusisha matendo kadhaa ambayo yaweza kusababisha mimba kadhaa kutoka kwa madume tofauti. Dume la sungura huwa hawawezi kutoa shahawa wakati wa joto la kiangazi (majira ya joto).\nSungura jike hubeba mimba kwa siku 30 mpaka 32 na kuzaa watoto 12 – 13. Wakati mwingine huweza kufikisha watoto 18.,"Jike la sungura wa Kizungu hubeba mimba kwa siku 30 mpaka 32. Mimba moja inaweza kuwa na watoto 12 – 13, lakini wakati mwingine inaweza kuwa na watoto 18.",Sungura hubeba mimba kwa miezi ngapi?,Swahili
,,,,
1.0,"ఈ భవన నిర్మాణం నవంబరు 2008లో ప్రారంభమై ఆగష్టు 2013 నాటికి పూర్తయింది. భవన వెలుపలి పనులు 2015 వేసవి నాటికి పూర్తయినా, సెప్టెంబరు 2015 నాటికి పూర్తయిన విధంగా భావించారు. భవనాన్ని వాస్తవానికి నవంబర్ 2014 లో ప్రజలకు తెరవాలని నిర్ణయించుకున్నప్పటికీ, నిర్మాణ కారణాలతో అది ఆలస్యమైంది. జూలై 2016 లో సందర్శకులకు పరిశీలన కేంద్రాన్ని తెరిచారు; జూలై నుంచి సెప్టెంబరు 2016 వరకూ ""టెస్ట్ రన్"" లేదా ""కమిషన్యింగ్"" కాల వ్యవధిగా పేర్కొనబడింది. ఏప్రిల్ 26, 2017 నాటికి, 118 వ అంతస్తులో ఉన్న సందర్శనా కేంద్రం ప్రజలకు తెరవబడింది.","షాంఘై టవరు నిర్మాణం నవంబర్ 2008 లో ప్రారంభమై ఆగష్టు 2013 లో పూర్తయింది. భవన వెలుపలి పనులు 2015 వేసవి నాటికి పూర్తయినప్పటికీ, సందర్శనా కేంద్రం ఏప్రిల్ 26, 2017 నాటికి ప్రజలకు తెరవబడింది.",షాంఘై టవరు కట్టడం ఎప్పుడు పూర్తయింది ?,Telugu
2.0,"వరగాణి, గుంటూరు జిల్లా, పెదనందిపాడు మండలానికి చెందిన గ్రామము. ఇది మండల కేంద్రమైన పెదనందిపాడు నుండి 2 కి. మీ. దూరం లోను, సమీప పట్టణమైన గుంటూరు నుండి 28 కి. మీ. దూరంలోనూ ఉంది. 2011 భారత జనగణన గణాంకాల ప్రకారం ఈ గ్రామం 1122 ఇళ్లతో, 3874 జనాభాతో 1892 హెక్టార్లలో విస్తరించి ఉంది. గ్రామంలో మగవారి సంఖ్య 1864, ఆడవారి సంఖ్య 2010. షెడ్యూల్డ్ కులాల సంఖ్య 1172 కాగా షెడ్యూల్డ్ తెగల సంఖ్య 181. గ్రామం యొక్క జనగణన లొకేషన్ కోడ్ 590340.పిన్ కోడ్: 522235. ఎస్.టి.డి.కోడ్ = 0863.","2011 జనగణన ప్రకారం వరగాణి గ్రామములో 1122 ఇళ్లులు ఉన్నాయి. ఈ గ్రామం 1892 హెక్టార్లలో విస్తరించి ఉంది. గ్రామంలో మొత్తం 3874 జనాభా ఉండగా, అందులో 1864 మంది మగవారు మరియు 2010 మంది ఆడవారు ఉన్నారు. షెడ్యూల్డ్ కులాల జనాభా 1172 కాగా, షెడ్యూల్డ్ తెగల జనాభా 181.",2011 జనగణన ప్రకారం వరగాణి గ్రామములో ఎన్ని ఇళ్లులు ఉన్నాయి?,Telugu
3.0,"పెనెలోప్ క్రజ్ (Penélope Cruz) అనే పేరుతో కీర్తి గడించిన పెనెలోప్ క్రజ్ సాంచెజ్ (జననం 1974 ఏప్రిల్ 28) ఒక స్పానిష్ నటి. 15 సంవత్సరాల వయస్సులో, ఆమె ఒక ఏజెంట్‌కు సంతకం చేసింది. ఆమె మొట్టమొదటిగా 16 సంవత్సరాల వయస్సులో టెలివిజన్‌లో కనిపించింది మరియు తర్వాత సంవత్సరంలోని ""జామూన్, జామూన్"" (1992) చలన చిత్రం ద్వారా చిత్ర రంగంలోకి ప్రవేశించి, ప్రశంసలను అందుకుంది. 1990లు మరియు 2000ల్లో ఆమె తన తదుపరి పాత్రలను ""ఓపెన్ యువర్ ఐస్"" (1997), ""ది హి-లో కంట్రీ"" (1999), ""ది గర్ల్ ఆఫ్ యువర్ డ్రీమ్స్"" (2000) మరియు ""ఉమెన్ ఆన్ టాప్"" (2000)ల్లో చేసింది. క్రజ్ ""వెనిల్లా స్కై"" మరియు ""బ్లో"" చలన చిత్రాల్లో పోషించిన ప్రధాన పాత్రలతో గుర్తింపు పొందింది. రెండు చలన చిత్రాలు 2001లో విడుదలయ్యాయి మరియు ప్రపంచవ్యాప్తంగా వాణిజ్యపరంగా మంచి విజయం సాధించాయి.","పెనెలోప్ క్రజ్ తన మొదటి చిత్రం ""జామూన్, జామూన్"" (1992)లో నటించింది. ఆమె 16 సంవత్సరాల వయస్సులో ఈ చిత్రంలో నటించింది. ఈ చిత్రం ద్వారా ఆమెకు మంచి పేరు వచ్చింది.",పెనెలోప్ క్రజ్ నటించిన మొదటి చిత్రం ఏది?,Telugu
,,,,
,โรว์ลิงมีน้องสาวหนึ่งคนชื่อว่าไดแอนน์ เกิดให้หลังเธอ 23 เดือน เมื่อโรว์ลิงอายุสี่ขวบ ครอบครัวของเธอย้ายไปอยู่ที่วินเทอร์บอร์น ซึ่งเป็นหมู่บ้านละแวกใกล้เคียง เธอเข้าเรียนในระดับประถมศึกษาที่โรงเรียนเซนต์ไมเคิล ที่ก่อตั้งโดยวิลเลียม วิลเบอร์ฟอร์ซ นักการเมืองผู้เรียกร้องให้เกิดการเลิกทาสในอังกฤษและฮันนาห์ มอร์ นักปฏิรูปการศึกษาของอังกฤษ อัลเฟรด ดันท์ ครูใหญ่ที่โรงเรียนแห่งนี้ภายหลังได้กลายมาเป็นแรงบันดาลใจให้เธอสร้างตัวละครอัลบัส ดัมเบิลดอร์ ในแฮร์รี่ พอตเตอร์ขึ้น,เจ.เค. โรว์ลิ่ง มีพี่น้องหนึ่งคนคือ ไดแอนน์ เกิดให้หลังเธอ 23 เดือน,เจ.เค. โรว์ลิ่ง มีพี่น้องกี่คน?,Thai
,"อาณาจักรอาหม (; \""อาโหมะ ราชยะ\""; ) บ้างเรียก อาณาจักรอัสสัม (Kingdom of Assam) มีชื่อในภาษาอาหมว่า เมืองถ้วนสวนคำ หรือ เมืองนุนสุนคำ (Mioung Dun Sun Kham) ไทใหญ่เรียกว่า เวสาลีโหลง เป็นรัฐรุ่นเดียวกับอาณาจักรสุโขทัย เริ่มต้นเมื่อ พ.ศ. 1771 นำโดยเจ้าหลวงเสือก่าฟ้า ปฐมกษัตริย์ หลังจากที่ต้องอพยพเดินทางทั้งยังทำการต่อสู้และย้ายถิ่นตลอด 38 ปี จึงได้วางรากฐานอาณาจักรอาหม โดยตั้งราชธานีที่เจ้รายดอย (หรือ จรวยเทพ) ในช่วงแรกที่ได้ตั้งอาณาจักรอาหมขึ้นมีการต่อสู้กับชนชาวเขาเผ่าต่าง ๆ ซึ่งเป็นชนพื้นเมือง",อาณาจักรอาหม ก่อตั้งขึ้นในปี พ.ศ. 1771 โดยเจ้าหลวงเสือก่าฟ้า ปฐมกษัตริย์ อาณาจักรอาหมตั้งอยู่ในรัฐอัสสัม ประเทศอินเดียในปัจจุบัน อาณาจักรอาหมเคยเป็นอาณาจักรที่ยิ่งใหญ่และเจริญรุ่งเรือง มีอาณาเขตกว้างใหญ่ไพศาล ปกครองโดยกษัตริย์หลายพระองค์ อาณาจักรอาหมล่มสลายลงในปี พ.ศ. 2369 ภายหลังจากที่ตกเป็นเมืองขึ้นของอังกฤษ,อาณาจักรอาหม ก่อตั้งขึ้นเมื่อไหร่?,Thai
,"จอมพล จอร์จ วอชิงตัน (, 22 กุมภาพันธ์ ค.ศ. 1732 – 14 ธันวาคม ค.ศ. 1799) เป็นผู้นำทางทหารและการเมืองที่โดดเด่นของสหรัฐอเมริกาที่เพิ่งก่อตั้งขึ้น ระหว่าง ค.ศ. 1775 ถึง 1799 เขานำสหรัฐจนได้รับชัยชนะเหนือบริเตนใหญ่ในสงครามปฏิวัติอเมริกัน ในฐานะผู้บัญชาการทหารสูงสุดของกองทัพภาคพื้นทวีปใน ค.ศ.1775-1783 และรับผิดชอบการร่างรัฐธรรมนูญใน ค.ศ. 1787 เขาดำรงตำแหน่งประธานาธิบดีคนแรกของสหรัฐอเมริกา ดำรงตำแหน่ง ค.ศ. 1789-1797 วอชิงตันเป็นผู้นำการสร้างรัฐบาลแห่งชาติที่เข้มแข็งและมีการคลังที่ดี ซึ่งวางตนเป็นกลางในสงครามที่ปะทุขึ้นในยุโรป ปราบปรามกบฏและได้รับการยอมรับจากชนอเมริกันทุกประเภท รูปแบบความเป็นผู้นำของเขาได้กลายมาเป็นระเบียบพิธีของรัฐบาลซึ่งปฏิบัติสืบต่อกันมานับแต่นั้น อาทิ การใช้ระบบคณะรัฐมนตรีและการปราศรัยในโอกาสเข้ารับตำแหน่งประธานาธิบดีอย่างเป็นทางการ วอชิงตันได้รับการยกย่องทั่วไปว่าเป็น \""บิดาแห่งประเทศของเขา\"" ด้วย",จอร์จ วอชิงตัน ดำรงตำแหน่งประธานาธิบดีคนแรกของสหรัฐอเมริกา ระหว่าง ค.ศ. 1789-1797,ประธานาธิบดีของประเทศสหรัฐอเมริกาคนแรกชื่ออะไร ?,Thai
,,,,
1.0,"Nelson Rolihlahla Mandela (; Ọjọ́ Kejìdínlógún Oṣù Keje Ọdún 1918 - Ọjọ́ Karùn-ún Oṣù Kejìlá Ọdún 2013) jẹ́ Ààrẹ Gúúsù Áfíríkà láti ọdún 1994 títí di ọdún 1999, bẹ́ẹ̀ sì ni òun ni Ààrẹ Gúúsù Áfírík[s àkọ́kọ́ tó jẹ́ ẹni àdìbòyàn nínú ìdìbò-yani tòṣèlú ará ìlú aṣojú yanyan. Kí ó tó di Ààrẹ, Mandela jẹ́ alákitiyan olódì-apartheid, ati olórí Umkhonto we Sizwe, apa adigun Ìgbìmọ̀ Aṣòfin Ọmọ Orílẹ̀-èdè Áfíríkà (ANC). Lọ́dún 1962 ó di ẹni afofinmu won si da lebi ika ote ati awon ẹ̀sùn mìíràn, wọ́n sì rán an lẹ́wọ̀n gbere. Mandela lo ọdún mẹ́tàdínlọ́gbọ̀n (27) ní ẹ̀wọ̀n, ó lo ọ̀pọ̀ ọdún yìí ní Robben Island. Lẹ́yìn jijowo rẹ̀ kúrò lọ́gbà ẹ̀wọ̀n ní ọjọ́ 11 oṣù kejì ọdún 1990. Mandela ṣiwájú ẹgbẹ́ òṣèlú rẹ̀ nínú àwọn iforojomitorooro tó fa òṣèlú àwaarawa ti gbogbo eya ti o waye ni odun 1994, tó sì di Ààrẹ orílẹ̀ èdè Gúúsù Áfíríkà láti ọdún 1994 títí di 1999. O si ṣokùnfà ìfọwọ́sowọ́pọ̀ ní Gúúsù Afrika, Bákan náà ni a tún mọ Mandela sí \""Madiba\"", oyè ẹ̀yẹ tí àwọn Alágbà ìdílé Mandela ń lo.",Ọdun 27 ni Nelson Mandela lo ninu tubu. O wa ni ẹ̀wọ̀n lati ọdún 1962 si 1990. O di Ààrẹ Gúúsù Áfíríkà láti ọdún 1994 sí 1999.,Ọdun melo ni Nelson Mandela lo ninu tubu?,Yoruba
2.0,"Hílíọ̀mù, Hélíọ̀m, tabi Helium (, ) ni ẹ́límẹ̀ntì kẹ́míkà tó ní nọ́mbà átọ́mù 2 àti iwuwo atomu to je 4.002602, àmì ìdámọ̀ rẹ̀ ni He. O je efuufu oniatomukan, alaigbera, aláìláwọ̀, alailoorun, alainitowo, ati alailewu to siwaju ẹgbẹ́ ẹ̀fúùfù abíire ninu tabili asiko. Awon ojuami ìhó àti ìyọ́ rẹ̀ je awon ti won kerejulo larin awon ẹ́límẹ̀ntì, o si wa pere gege bi efuufu ayafi nigba to ba wa nipo lounloun. Leyin hydrogen, ohun ni elimenti keji to pojulo ni agbalaaye, o si je bi 24% gbogbo akojo elimenti ninu galaksi wa.","Helium ni ẹ́límẹ̀ntì keji to pojulo ni agbalaaye, o si je bi 24% gbogbo akojo elimenti ninu galaksi wa.",Ohun ti ọrọ ni keji julọ lọpọlọpọ ano ni Agbaye lẹhin hydrogen?,Yoruba
3.0,"won bi Oloye Wahab (Abdulwahab) Iyanda Folawiyo ni June 16, 1928 , o ku ni  June 6, 2008. o je onisowo omo orile ede Naijiria ti o si je oluran-lowo fun awon eniyan. Ni odun 1957, O da ile ise Yinka Folawiyo & Sons kale, eyi ti  o je ipile fun awon ogooro ile ise ree to ku. Won bi iyanda Wahab Folawiyo ni ipinle Eko si idile Pa Tijani, eni ti o je onisowo pelu, lasiko ijoba amunisin (British colonial era). O lo si ile eko agba ti University of North London ni odun 1951, nibi ti o ti gba oye imo nipa eto imojuto ile ise (Management), ti o si duro lori (Ship Brokerage). O pada sile lati bere ile ise Yinka Folawiyo & Sons, ti o da lori rira lati ati tita oja si oke Okun  (import and export business). Folawiyo tun je eni akoko ti fun Baltic Exchange in London.","Oloye Wahab Folawiyo lo yunifasiti ni odun 1951. O lo si ile eko agba ti University of North London ni odun yii, nibi ti o ti gba oye imo nipa eto imojuto ile ise (Management), ti o si duro lori (Ship Brokerage)",Wahab Folawiyo nigba wo ni yunifasiti?,Yoruba
,,,,
1.0,四川各地小吃通常也被看作是川菜的组成部分。由于重庆地区小吃相对较少，除重庆麻辣小面外，川菜小吃主要以成都小吃为主。 主要有担担面、川北凉粉、麻辣小面、酸辣麵、 酸辣粉、叶儿粑、酸辣豆花、三合泥、红油抄手等以及用创始人姓氏命名的赖汤圆、龙抄手、钟水饺、吴抄手等。 甜品方面，以原产四川眉山的冰粉和四川宜宾长宁县的凉糕最有名。,四川美食种类繁多，小吃也非常有名，主要有担担面、川北凉粉、麻辣小面、酸辣粉、叶儿粑、酸辣豆花、三合泥、红油抄手、赖汤圆、龙抄手、钟水饺、吴抄手等。甜品方面，以原产四川眉山的冰粉和四川宜宾长宁县的凉糕最有名。,四川美食有哪些？,Chinese
2.0,"獅子座流星雨 (Leonids[ˈli.əˌnɪdz] \""lee-uhnids\"")是與周期大約33年的坦普爾·塔特爾彗星有關的一個流星雨。獅子座流星雨的得名是因為這個流星雨輻射點的位置在獅子座。在2009年，這個流星雨的尖峰時間在11月17日（世界時），每小時的數量可能高達500顆，尚不足以成為流星暴（每小時超過1,000顆流星的大流星雨）。",上一次狮子座流星雨发生在2009年11月17日。狮子座流星雨是与周期大约33年的坦普尔·塔特尔彗星有关的一个流星雨。狮子座流星雨的得名是因为这个流星雨辐射点的位置在狮子座。,上一次狮子座流星雨发生在什么时间？,Chinese
3.0,清华大学（，縮寫：），简称清华，舊称清华学堂、游美肄业馆、清华学校、國立清華大學，是一所位于中华人民共和国北京市海淀区清华园的公立大学。始建于1911年，因北京西北郊清华园而得名。初为清政府利用美国退还的部分庚子赔款所建留美预备学校“遊美学务处”及附设“肄业馆”，於1925年始设大学部。抗日战争爆发后，清华与北大、南开南迁长沙，组建国立长沙临时大学。1938年再迁昆明，易名国立西南联合大学。1946年迁回清华园复校，拥有文、法、理、工、农等5个学院。1949年中华人民共和国成立后，国立清华大学归属中央人民政府教育部，更名“清华大学”；而原国立清华大学校长梅貽琦于1955年在台湾新竹复校，仍沿用原名。,清华大学始建于1911年，因北京西北郊清华园而得名。初为清政府利用美国退还的部分庚子赔款所建留美预备学校“遊美学务处”及附设“肄业馆”。,清华大学什么时候成立的？,Chinese
